English (GB)	Deutsch (DE)	Français (FR)	Italiano (IT)	Suomalainen (FI)	Nederlands (NL)	Polski (PL)	Dansk (DK)	한국어 (KO)	Svenska (SE)	日本語 (JA)	Español (ES)
Please restart SmartBench now.	Bitte starten Sie die SmartBench jetzt neu.	Veuillez redémarrer SmartBench maintenant.	Si prega di riavviare SmartBench ora.	Käynnistä SmartBench nyt uudelleen.	Start SmartBench nu opnieuw op.	Zresetuj teraz SmartBench.	Genstart venligst SmartBench nu.	지금 SmartBench를 다시 시작하십시오.	Starta om SmartBench nu.	今すぐ SmartBench を再起動してください。	Por favor, reinicie SmartBench ahora.
Find release notes at yetitool.com	Versionshinweise finden Sie unter yetitool.com	Trouvez les publications sur yetitool.com	Trovi le note di rilascio su yetitool.com	Löydät julkaisutiedot osoitteesta yetitool.com	Versie-opmerkingen vindt u op yetitool.com	Dowiedź się więcej o najnowszym oprogramowaniu na yetitool.com	Find udgivelsesnoter på yetitool.com	yetitool.com에서 추가 정보 찾기	Hitta versionsanvisningar på yetitool.com	Yetitool.com でリリース ノートを検索してください	Encuentre las notas de la versión en yetitool.com
Software updated successfully to version	Software erfolgreich aktualisiert auf Version	Le logiciel a été mis à jour avec succès vers la version	Software aggiornato con successo alla versione	Ohjelmisto päivitetty onnistuneesti versioon	Software met succes bijgewerkt naar versie	Oprogramowanie pomyślnie zaktualizowano do wersji	Software er blevet opdateret til version	소프트웨어가 버전으로 성공적으로 업데이트 되었습니다	Programvaran har uppdaterats framgångsrikt till version	ソフトウェアが正常にバージョンに更新されました	El software se ha actualizado correctamente a la versión
version	Version	version	versione	versioon	versie	wersji	version	버전	version	バージョン	versión
For full release notes, go to:	Die vollständigen Versionshinweise finden Sie unter:	Pour obtenir les publications complètes, rendez-vous sur:	Per le note di rilascio complete, vai su:	Täydelliset julkaisutiedot löytyvät osoitteesta:	Voor de volledige release notes, ga naar:	Aby uzyskać więcej informacji o najnowszym oprogramowaniu, odwiedź stronę:	Du kan finde alle udgivelsesbemærkninger på:	전체 추가정보를 보려면 다음으로 이동하십시오.	För fullständiga versionsanvisningar, gå till:	完全なリリースノートについては、以下にアクセスしてください。	Para ver las notas de la versión completa, vaya a:
These release notes contain critical information about how SmartBench has changed (in English).	Diese Versionshinweise enthalten wichtige Informationen darüber, wie sich die SmartBench geändert hat (in Englisch).	Ces publications contiennent des informations essentielles les changements du Smartbench (en anglais).	Queste note di rilascio contengono informazioni critiche su come SmartBench è cambiato (in inglese).	Nämä julkaisutiedot sisältävät kriittisiä tietoja siitä, miten SmartBench on muuttunut (englanniksi).	Deze release notes bevatten kritische informatie over hoe SmartBench veranderd is (in het Engels).	Te uwagi zawierają kluczowe informacje o zmianach wprowadzonych w Smartbench (w języku angielskim).	Disse udgivelsesbemærkninger indeholder vigtige oplysninger om, hvordan SmartBench er blevet ændret (på engelsk).	이 추가 정보에는 SmartBench가 어떻게 영어로 바뀌었는지에 대한 중요한 정보가 포함되어 있습니다.	Dessa versionshänvisningar innehåller viktig information om hur SmartBench har ändrats (på engelska).	これらのリリース ノートには、SmartBench の変更点に関する重要な情報が含まれています (英語)。	Estas notas de la versión contienen información crítica sobre cómo ha cambiado SmartBench (en inglés).
Which tool are you using?	Welches Werkzeug verwenden Sie?	Quel outil utilisez-vous ?	Quale strumento stai usando?	Mitä työkalua käytät?	Welk hulpmiddel gebruikt u?	Jakiego używasz narzędzia?	Hvilket værktøj bruger du?	어떤 도구를 사용하고 있습니까?	Vilket verktyg använder du?	どのツールを使用していますか?	¿Qué herramienta utiliza?
Router	Fräse	Routeur	Elettromandrino	Reititin	Router	Silnik frezarski	Fræser	라우터	Fräs	ルーター	Router
Visit Yeti Tool CNC Academy for video tutorials on how to get started.	Besuchen Sie die Yeti Tool CNC-Akademie für Video-Tutorials, die Ihnen den Einstieg erleichtern.	Visitez "Yeti Tool CNC Academy" pour des vidéos  tutorielles sur comment commencer.	Visita la Yeti Tool CNC Academy per dei video tutorial su come cominciare.	Vieraile Yeti Tool CNC Academy -akatemiassa, josta löydät video-opastusta alkuun pääsemiseksi.	Bezoek Yeti Tool CNC Academy voor video tutorials over hoe te beginnen.	Odwiedź Akademię Yeti Tool CNC, aby zapoznać się z tutorialami wideo ułatwiającymi rozpoczęcie pracy.	Besøg Yeti Tool CNC Academy for at få videovejledninger om, hvordan du kommer i gang.	시작 방법에 대한 비디오 자습서를 보려면 Yeti Tool CNC Academy를 방문하십시오.	Besök Yeti Tool CNC Academy för videohandledning om hur du kommer igång.	Yeti Tool CNC Academy にアクセスして、開始方法に関するビデオ チュートリアルをご覧ください。	Visite la Academia de CNC de Yeti Tool para ver tutoriales en vídeo sobre cómo empezar.
Reboot to finish applying your settings, and get started!	Starten Sie neu, um die Einstellungen zu übernehmen, und legen Sie los!	Redémarrez pour appliquer vos paramètres, et commencez !	Riavvia per finire di applicare le tue impostazioni e inizia!	Käynnistä laite uudelleen viimeistelläksesi asetukset ja aloita!	Herstart om uw instellingen te voltooien, en ga aan de slag!	Uruchom ponownie, aby zakończyć wprowadzanie ustawień i rozpocząć pracę!	Genstart for at afslutte dine indstillinger, og kom i gang!	설정 적용을 완료하려면 재부팅하고 시작하십시오!	Starta om för att slutföra dina inställningar och börja!	再起動して設定の適用を完了し、開始してください。	Reinicia para terminar de aplicar tus ajustes y empieza a trabajar.
Ensuring USB is unmounted, please wait...	Sicherstellen, dass der USB-Anschluss freigegeben ist, bitte warten...	Assurez-vous que l'USB est déconnectez, veuillez patientez	Assicurarsi che l'USB sia smontata, attendere prego...	Varmistetaan, että USB on irrotettu, odota...	USB wordt ontkoppeld, even wachten...	Sprawdzam czy USB jest odłączne, proszę czekaj...	Sørger for, at USB er afmonteret, vent venligst...	USB가 단락 되지 않도록 하십시오. 기다려주세요 ...	Säkerställer att USB är urkopplat, vänligen vänta...	USB がアンマウントされていることを確認しています。お待ちください...	Asegurando que el USB está desmontado, por favor espere...
First aid complete.	Erste Hilfe abgeschlossen.	Dépannage terminé	Primo soccorso completato.	Ensiapu valmis.	Eerste hulp compleet.	Pierwsza pomoc zakończona.	Førstehjælp afsluttet.	인식완료	Första hjälpen är klar.	応急処置完了。	Primeros auxilios completos.
You can now use your USB stick.	Sie können jetzt Ihren USB-Stick verwenden.	Vous pouvez maintenant utiliser votre clé USB.	Ora puoi usare la tua chiavetta USB.	Voit nyt käyttää USB-tikkua.	U kunt nu uw USB-stick gebruiken.	Możesz teraz używać swojej pamięci USB.	Du kan nu bruge din USB-stick.	이제 USB 스틱을 사용할 수 있습니다.	Du kan nu använda ditt USB-minne.	これで USB スティックを使用できるようになります。	Ahora puedes utilizar tu memoria USB.
If your USB stick is plugged into the console, please remove it now.	Wenn Ihr USB-Stick in die Konsole eingesteckt ist, entfernen Sie ihn bitte jetzt.	Si votre clé USB est branchée sur la console, veuillez la retirer maintenant.	Se la tua chiavetta USB è inserita nella console, rimuovila ora.	Jos USB-tikkusi on kytketty konsoliin, irrota se nyt.	Als uw USB-stick is aangesloten op de console, verwijdert u deze nu.	Jeśli pamięć USB jest podłączona do konsoli, proszę odłącz ją teraz.	Hvis din USB-stick er tilsluttet konsollen, skal du fjerne den nu.	USB 스틱이 콘솔에 연결된 경우 지금 제거하십시오.	Om ditt USB-minne är anslutet till konsolen, ta bort det nu.	USB スティックが本体に接続されている場合は、今すぐ取り外してください。	Si su memoria USB está conectada a la consola, retírela ahora.
When you have removed it, press 'Ok'.	Wenn Sie ihn entfernt haben, drücken Sie auf 'Ok'.	Lorsque vous l'avez retirée, appuyez sur 'Ok'.	Quando l'hai rimossa, premi 'Ok'.	Kun olet poistanut sen, paina 'Ok'.	Wanneer u deze verwijderd heeft, druk op 'Ok'.	Po jej odłączeniu, naciśnij 'Ok'.	Når du har fjernet den, skal du trykke på "Ok".	제거하고 'OK'를 누릅니다.	När du har tagit bort den trycker du på "Ok".	削除したら「OK」を押します。	Cuando lo hayas eliminado, pulsa 'Ok'.
WARNING: Not following this step could cause files to be deleted from your USB stick.	WARNUNG: Wenn Sie diesen Schritt nicht befolgen, werden möglicherweise Dateien von Ihrem USB-Stick gelöscht.	AVERTISSEMENT : Si vous ne suivez pas cette étape, des fichiers peuvent être supprimés de votre clé USB.	ATTENZIONE: Non seguire questa operazione potrebbe causare la cancellazione di file dalla tua chiavetta USB.	VAROITUS: Jos tätä vaihetta ei noudateta, tiedostot voivat poistua USB-tikulta.	WAARSCHUWING: Als u deze stap niet volgt, kunnen er bestanden van uw USB-stick worden verwijderd.	OSTRZEŻENIE: Nieprzestrzeganie tego kroku może spowodować usunięcie plików z pamięci USB.	ADVARSEL: Hvis du ikke følger dette trin, kan det medføre, at filer slettes fra din USB-stick.	경고: 이 단계를 따르지 않으면 USB 스틱에서 파일을 삭제할 수 있습니다.	VARNING: Om du inte följer detta steg kan det leda till att filer raderas från USB-minnet.	警告: この手順に従わないと、USB スティックからファイルが削除される可能性があります。	ADVERTENCIA: Si no se sigue este paso, los archivos pueden ser eliminados de la memoria USB.
days	Tage	jours	giorni	päivää	dagen	dni	dage	몇시에	dagar	日々	días
day	Tag	jour	giorno	päivä	dag	dzień	dag	일	dag	日	día
Welcome to SmartBench	Willkommen bei SmartBench	Bienvenue sur votre SmartBench	Benvenuto in Smartbench	Tervetuloa SmartBenchiin	Welkom bij SmartBench	Witamy w SmartBench	Velkommen til SmartBench	SmartBench에 오신 것을 환영합니다	Välkommen till SmartBench	スマートベンチへようこそ	Bienvenido a SmartBench
Please follow the next steps to set up your Console, and complete your warranty registration process.	Bitte befolgen Sie die folgenden Schritte, um Ihre Konsole einzurichten und die Garantieregistrierung abzuschließen.	Veuillez suivre les étapes suivantes pour configurer votre console et terminer le processus d'enregistrement de votre garantie.	Segui i prossimi passi per impostare la tua console e completare il processo di registrazione della garanzia.	Seuraa seuraavia vaiheita konsolin määrittämiseksi ja takuun rekisteröintiprosessin loppuun saattamiseksi.	Volg de volgende stappen om uw Console in te stellen en uw garantieregistratie te voltooien.	Wykonaj poniższe kroki, aby skonfigurować konsolę i zakończyć proces rejestracji gwarancji.	Følg de næste trin for at konfigurere din konsol og fuldføre din registrering af garantien.	다음 단계를 따라 콘솔을 설정하고 보증 등록 절차를 완료하십시오.	Följ följande steg för att konfigurera din konsol och slutföra din garantiregistrering.	次の手順に従ってコンソールをセットアップし、保証登録プロセスを完了してください。	Siga los siguientes pasos para configurar su consola y completar el proceso de registro de la garantía.
Wi-Fi and Data Consent	WLAN und Dateneinwilligung	Wi-Fi et consentement aux données	Wi-Fi e consenso ai dati	Wi-Fi ja suostumus tietojen käyttöön	Toestemming voor Wi-Fi en gegevens	Zgoda na korzystanie z Wi-Fi i danych	Samtykke til Wi-Fi og data	Wi-Fi 및 데이터 동의	Wi-Fi och samtycke till dessa uppgifter	Wi-Fi とデータの同意	Wi-Fi y consentimiento de datos
To keep improving our services, we want to collect data from your SmartBench. With your consent, we will collect the following data:	Um unsere Dienstleistungen weiter zu verbessern, möchten wir Daten von Ihrer SmartBench sammeln. Mit Ihrem Einverständnis werden wir die folgenden Daten erfassen:	Pour continuer à améliorer nos services, nous souhaitons collecter des données à partir de votre SmartBench. Avec votre consentement, nous collecterons les données suivantes :	Per continuare a migliorare i nostri servizi, vogliamo raccogliere dati dal tuo SmartBench. Con il tuo consenso, raccoglieremo i seguenti dati:	Parantaaksemme jatkuvasti palveluitamme haluamme kerätä tietoja SmartBenchistäsi. Suostumuksellasi keräämme seuraavia tietoja:	Om onze diensten te blijven verbeteren, willen we gegevens van uw SmartBench verzamelen. Met uw toestemming zullen we de volgende gegevens verzamelen:	Aby stale ulepszać nasze usługi, chcemy zbierać dane z Twojego SmartBench. Za Twoją zgodą będziemy zbierać następujące dane:	For fortsat at kunne forbedre vores tjenester ønsker vi at indsamle data fra din SmartBench. Med dit samtykke vil vi indsamle følgende data:	서비스를 계속 개선하기 위해 SmartBench에서 데이터를 수집하려고합니다. 귀하의 동의하에, 당사는 다음 데이터를 수집합니다.	För att kunna förbättra våra tjänster vill vi samla in data från din SmartBench. Med ditt samtycke kommer vi att samla in följande uppgifter:	サービスを改善し続けるために、SmartBench からデータを収集したいと考えています。お客様の同意を得て、次のデータを収集します。	Para seguir mejorando nuestros servicios, queremos recoger datos de su SmartBench. Con su consentimiento, recopilaremos los siguientes datos:
We will NEVER collect the following from your Console:	Wir werden NIEMALS die folgenden Daten von Ihrer Konsole sammeln:	Nous ne collecterons JAMAIS les données suivantes à partir de votre console :	Non raccoglieremo MAI i seguenti dati dalla tua Console:	Emme KOSKAAN kerää seuraavia tietoja konsoliltasi:	We zullen NOOIT het volgende van uw Console verzamelen:	NIGDY nie będziemy gromadzić następujących danych z konsoli:	Vi vil ALDRIG indsamle følgende fra din konsol:	우리는 당신의 콘솔에서 다음을 수집하지 않을 것입니다.	Vi kommer ALDRIG att samla in följande från din konsol:	当社はコンソールから次の情報を収集することはありません。	Nunca recopilaremos lo siguiente de su Consola:
